,0
0,Colorado
1,Connecticut
2,Delaware
3,Hawaii
4,Idaho
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maryland
11,Massachusetts
12,Mississippi
13,Missouri
14,Nebraska
15,New Hampshire
16,New Jersey
17,Oklahoma
18,Pennsylvania
19,Rhode Island
20,Tennessee
21,Utah
22,Vermont
23,Virginia
24,West Virginia
25,Wisconsin
26,Wyoming
